Actual Traffic Volume,Predicted Traffic Volume,Actual Congestion Level,Predicted Congestion Level,Recommendation
851.0,861.71173,Low,Low,Traffic conditions are favorable.
2742.0,2653.0027,Medium,Medium,Expect moderate delays and allow extra travel time.
5331.0,5385.491,High,High,Avoid peak hours or consider an alternative route.
6336.0,5958.042,High,High,Avoid peak hours or consider an alternative route.
5668.0,5537.115,High,High,Avoid peak hours or consider an alternative route.
4693.0,4799.163,High,High,Avoid peak hours or consider an alternative route.
4213.0,4407.703,Medium,Medium,Expect moderate delays and allow extra travel time.
4265.0,4573.3325,Medium,Medium,Expect moderate delays and allow extra travel time.
4666.0,4764.3784,High,High,Avoid peak hours or consider an alternative route.
4748.0,4858.813,High,High,Avoid peak hours or consider an alternative route.
4554.0,5165.777,Medium,High,Avoid peak hours or consider an alternative route.
5784.0,5622.2563,High,High,Avoid peak hours or consider an alternative route.
6655.0,6258.6855,High,High,Avoid peak hours or consider an alternative route.
6001.0,5890.125,High,High,Avoid peak hours or consider an alternative route.
4388.0,4379.0596,Medium,Medium,Expect moderate delays and allow extra travel time.
3346.0,3233.1155,Medium,Medium,Expect moderate delays and allow extra travel time.
2806.0,2657.2695,Medium,Medium,Expect moderate delays and allow extra travel time.
2301.0,2392.377,Medium,Medium,Expect moderate delays and allow extra travel time.
2592.0,1907.5023,Medium,Low,Traffic conditions are favorable.
2003.0,1221.8533,Low,Low,Traffic conditions are favorable.
666.0,672.12164,Low,Low,Traffic conditions are favorable.
414.0,428.14972,Low,Low,Traffic conditions are favorable.
301.0,363.80978,Low,Low,Traffic conditions are favorable.
380.0,372.0322,Low,Low,Traffic conditions are favorable.
2872.0,2722.0994,Medium,Medium,Expect moderate delays and allow extra travel time.
5420.0,5509.433,High,High,Avoid peak hours or consider an alternative route.
6404.0,6113.428,High,High,Avoid peak hours or consider an alternative route.
5880.0,5689.6714,High,High,Avoid peak hours or consider an alternative route.
5093.0,5086.159,High,High,Avoid peak hours or consider an alternative route.
4410.0,4649.0034,Medium,Medium,Expect moderate delays and allow extra travel time.
4591.0,4864.888,High,High,Avoid peak hours or consider an alternative route.
4749.0,4947.696,High,High,Avoid peak hours or consider an alternative route.
5062.0,4982.6807,High,High,Avoid peak hours or consider an alternative route.
5187.0,5213.827,High,High,Avoid peak hours or consider an alternative route.
5895.0,5738.3457,High,High,Avoid peak hours or consider an alternative route.
6366.0,6351.002,High,High,Avoid peak hours or consider an alternative route.
5413.0,5982.8345,High,High,Avoid peak hours or consider an alternative route.
4470.0,4719.6235,Medium,High,Avoid peak hours or consider an alternative route.
3436.0,3343.2039,Medium,Medium,Expect moderate delays and allow extra travel time.
2933.0,3048.4646,Medium,Medium,Expect moderate delays and allow extra travel time.
2736.0,2834.1113,Medium,Medium,Expect moderate delays and allow extra travel time.
3761.0,2224.565,Medium,Low,Traffic conditions are favorable.
665.0,702.4594,Low,Low,Traffic conditions are favorable.
340.0,456.50552,Low,Low,Traffic conditions are favorable.
285.0,399.2062,Low,Low,Traffic conditions are favorable.
378.0,413.6739,Low,Low,Traffic conditions are favorable.
903.0,891.6419,Low,Low,Traffic conditions are favorable.
2785.0,2866.5173,Medium,Medium,Expect moderate delays and allow extra travel time.
5526.0,5553.78,High,High,Avoid peak hours or consider an alternative route.
6542.0,6202.2075,High,High,Avoid peak hours or consider an alternative route.
5854.0,5800.2715,High,High,Avoid peak hours or consider an alternative route.
5312.0,5196.172,High,High,Avoid peak hours or consider an alternative route.
4511.0,4773.7163,Medium,High,Avoid peak hours or consider an alternative route.
4825.0,4946.2554,High,High,Avoid peak hours or consider an alternative route.
4908.0,5112.631,High,High,Avoid peak hours or consider an alternative route.
5044.0,5100.5376,High,High,Avoid peak hours or consider an alternative route.
5251.0,5397.704,High,High,Avoid peak hours or consider an alternative route.
5906.0,5897.8467,High,High,Avoid peak hours or consider an alternative route.
6789.0,6568.3984,High,High,Avoid peak hours or consider an alternative route.
4718.0,4777.746,High,High,Avoid peak hours or consider an alternative route.
3426.0,3566.9773,Medium,Medium,Expect moderate delays and allow extra travel time.
3115.0,3105.183,Medium,Medium,Expect moderate delays and allow extra travel time.
2507.0,2891.7507,Medium,Medium,Expect moderate delays and allow extra travel time.
1810.0,2212.0696,Low,Low,Traffic conditions are favorable.
1094.0,1393.7087,Low,Low,Traffic conditions are favorable.
577.0,761.0933,Low,Low,Traffic conditions are favorable.
354.0,461.86435,Low,Low,Traffic conditions are favorable.
259.0,403.00705,Low,Low,Traffic conditions are favorable.
910.0,900.41205,Low,Low,Traffic conditions are favorable.
2797.0,2793.055,Medium,Medium,Expect moderate delays and allow extra travel time.
6537.0,6238.231,High,High,Avoid peak hours or consider an alternative route.
5907.0,5819.2007,High,High,Avoid peak hours or consider an alternative route.
5177.0,5205.5684,High,High,Avoid peak hours or consider an alternative route.
4675.0,4824.387,High,High,Avoid peak hours or consider an alternative route.
4905.0,4991.1133,High,High,Avoid peak hours or consider an alternative route.
5113.0,5130.6387,High,High,Avoid peak hours or consider an alternative route.
5165.0,5218.8154,High,High,Avoid peak hours or consider an alternative route.
5448.0,5530.8335,High,High,Avoid peak hours or consider an alternative route.
5960.0,5946.0864,High,High,Avoid peak hours or consider an alternative route.
6586.0,6607.718,High,High,Avoid peak hours or consider an alternative route.
6279.0,6078.3926,High,High,Avoid peak hours or consider an alternative route.
4771.0,4788.0083,High,High,Avoid peak hours or consider an alternative route.
3503.0,3535.002,Medium,Medium,Expect moderate delays and allow extra travel time.
3093.0,3202.204,Medium,Medium,Expect moderate delays and allow extra travel time.
2685.0,3110.9792,Medium,Medium,Expect moderate delays and allow extra travel time.
2157.0,2721.0237,Low,Medium,Expect moderate delays and allow extra travel time.
1205.0,1639.0059,Low,Low,Traffic conditions are favorable.
386.0,496.6873,Low,Low,Traffic conditions are favorable.
2731.0,2538.214,Medium,Medium,Expect moderate delays and allow extra travel time.
4997.0,5374.0103,High,High,Avoid peak hours or consider an alternative route.
6242.0,6066.0938,High,High,Avoid peak hours or consider an alternative route.
5574.0,5749.5435,High,High,Avoid peak hours or consider an alternative route.
4900.0,5123.9663,High,High,Avoid peak hours or consider an alternative route.
4578.0,4873.655,High,High,Avoid peak hours or consider an alternative route.
5056.0,4996.5522,High,High,Avoid peak hours or consider an alternative route.
5381.0,5184.647,High,High,Avoid peak hours or consider an alternative route.
5999.0,5921.4297,High,High,Avoid peak hours or consider an alternative route.
6607.0,6333.622,High,High,Avoid peak hours or consider an alternative route.
6023.0,6047.6733,High,High,Avoid peak hours or consider an alternative route.
4952.0,4875.904,High,High,Avoid peak hours or consider an alternative route.
4004.0,3639.9255,Medium,Medium,Expect moderate delays and allow extra travel time.
3503.0,3224.5051,Medium,Medium,Expect moderate delays and allow extra travel time.
3111.0,3189.9812,Medium,Medium,Expect moderate delays and allow extra travel time.
3079.0,2969.257,Medium,Medium,Expect moderate delays and allow extra travel time.
1903.0,2201.7976,Low,Low,Traffic conditions are favorable.
1125.0,1352.2522,Low,Low,Traffic conditions are favorable.
621.0,821.28735,Low,Low,Traffic conditions are favorable.
498.0,599.79065,Low,Low,Traffic conditions are favorable.
386.0,550.84467,Low,Low,Traffic conditions are favorable.
391.0,469.59348,Low,Low,Traffic conditions are favorable.
1167.0,1587.8948,Low,Low,Traffic conditions are favorable.
1895.0,2263.1084,Low,Low,Traffic conditions are favorable.
3095.0,2951.478,Medium,Medium,Expect moderate delays and allow extra travel time.
3956.0,3646.7986,Medium,Medium,Expect moderate delays and allow extra travel time.
4651.0,4159.8145,High,Medium,Expect moderate delays and allow extra travel time.
5278.0,4524.1895,High,Medium,Expect moderate delays and allow extra travel time.
5798.0,4895.658,High,High,Avoid peak hours or consider an alternative route.
5686.0,4879.3975,High,High,Avoid peak hours or consider an alternative route.
5616.0,4898.812,High,High,Avoid peak hours or consider an alternative route.
5217.0,4909.958,High,High,Avoid peak hours or consider an alternative route.
4708.0,4957.3745,High,High,Avoid peak hours or consider an alternative route.
4954.0,4690.789,High,High,Avoid peak hours or consider an alternative route.
4595.0,4393.694,High,Medium,Expect moderate delays and allow extra travel time.
3918.0,3730.1025,Medium,Medium,Expect moderate delays and allow extra travel time.
3534.0,3317.8562,Medium,Medium,Expect moderate delays and allow extra travel time.
3351.0,3209.5186,Medium,Medium,Expect moderate delays and allow extra travel time.
3739.0,2997.1267,Medium,Medium,Expect moderate delays and allow extra travel time.
2596.0,2421.8254,Medium,Low,Traffic conditions are favorable.
1642.0,1424.0204,Low,Low,Traffic conditions are favorable.
1075.0,883.0402,Low,Low,Traffic conditions are favorable.
719.0,620.5299,Low,Low,Traffic conditions are favorable.
417.0,514.7748,Low,Low,Traffic conditions are favorable.
321.0,403.65152,Low,Low,Traffic conditions are favorable.
439.0,531.40594,Low,Low,Traffic conditions are favorable.
761.0,1015.4034,Low,Low,Traffic conditions are favorable.
1020.0,1462.4181,Low,Low,Traffic conditions are favorable.
1840.0,2119.4536,Low,Low,Traffic conditions are favorable.
2776.0,2879.0645,Medium,Medium,Expect moderate delays and allow extra travel time.
3658.0,3523.5325,Medium,Medium,Expect moderate delays and allow extra travel time.
4175.0,3931.3345,Medium,Medium,Expect moderate delays and allow extra travel time.
4575.0,4463.595,High,Medium,Expect moderate delays and allow extra travel time.
4713.0,4463.595,High,Medium,Expect moderate delays and allow extra travel time.
4783.0,4476.912,High,Medium,Expect moderate delays and allow extra travel time.
4797.0,4500.0933,High,Medium,Expect moderate delays and allow extra travel time.
4727.0,4558.562,High,Medium,Expect moderate delays and allow extra travel time.
4649.0,4228.4663,High,Medium,Expect moderate delays and allow extra travel time.
3868.0,3944.7092,Medium,Medium,Expect moderate delays and allow extra travel time.
3174.0,3353.0044,Medium,Medium,Expect moderate delays and allow extra travel time.
2692.0,2873.9019,Medium,Medium,Expect moderate delays and allow extra travel time.
2068.0,2586.1184,Low,Medium,Expect moderate delays and allow extra travel time.
1560.0,1982.8951,Low,Low,Traffic conditions are favorable.
966.0,1322.4656,Low,Low,Traffic conditions are favorable.
540.0,645.2205,Low,Low,Traffic conditions are favorable.
293.0,410.5352,Low,Low,Traffic conditions are favorable.
254.0,362.97046,Low,Low,Traffic conditions are favorable.
348.0,418.6804,Low,Low,Traffic conditions are favorable.
819.0,820.3834,Low,Low,Traffic conditions are favorable.
5370.0,5264.5723,High,High,Avoid peak hours or consider an alternative route.
6710.0,5858.64,High,High,Avoid peak hours or consider an alternative route.
5983.0,5668.6826,High,High,Avoid peak hours or consider an alternative route.
4958.0,4632.4243,High,High,Avoid peak hours or consider an alternative route.
4320.0,4160.7734,Medium,Medium,Expect moderate delays and allow extra travel time.
4551.0,4513.049,Medium,High,Avoid peak hours or consider an alternative route.
4636.0,4646.9536,High,High,Avoid peak hours or consider an alternative route.
4712.0,4683.0215,High,High,Avoid peak hours or consider an alternative route.
4974.0,5026.6016,High,High,Avoid peak hours or consider an alternative route.
5694.0,5627.8345,High,High,Avoid peak hours or consider an alternative route.
6470.0,6189.1636,High,High,Avoid peak hours or consider an alternative route.
5955.0,5784.701,High,High,Avoid peak hours or consider an alternative route.
4314.0,4253.243,Medium,Medium,Expect moderate delays and allow extra travel time.
3201.0,3113.8381,Medium,Medium,Expect moderate delays and allow extra travel time.
2582.0,2548.1313,Medium,Medium,Expect moderate delays and allow extra travel time.
2628.0,2263.6194,Medium,Medium,Expect moderate delays and allow extra travel time.
3231.0,1801.6328,Medium,Low,Traffic conditions are favorable.
1086.0,1154.3969,Low,Low,Traffic conditions are favorable.
556.0,667.9063,Low,Low,Traffic conditions are favorable.
337.0,444.73358,Low,Low,Traffic conditions are favorable.
353.0,378.58527,Low,Low,Traffic conditions are favorable.
885.0,845.38635,Low,Low,Traffic conditions are favorable.
2867.0,2736.6074,Medium,Medium,Expect moderate delays and allow extra travel time.
6426.0,5913.905,High,High,Avoid peak hours or consider an alternative route.
5876.0,5549.2734,High,High,Avoid peak hours or consider an alternative route.
5130.0,4937.623,High,High,Avoid peak hours or consider an alternative route.
5130.0,4942.082,High,High,Avoid peak hours or consider an alternative route.
4406.0,4469.734,Medium,Medium,Expect moderate delays and allow extra travel time.
4406.0,4463.7104,Medium,Medium,Expect moderate delays and allow extra travel time.
4406.0,4470.763,Medium,Medium,Expect moderate delays and allow extra travel time.
4427.0,4611.871,Medium,High,Avoid peak hours or consider an alternative route.
4427.0,4604.8184,Medium,High,Avoid peak hours or consider an alternative route.
4600.0,4729.3013,High,High,Avoid peak hours or consider an alternative route.
4600.0,4711.933,High,High,Avoid peak hours or consider an alternative route.
4696.0,4728.3745,High,High,Avoid peak hours or consider an alternative route.
4696.0,4727.499,High,High,Avoid peak hours or consider an alternative route.
4958.0,5024.5117,High,High,Avoid peak hours or consider an alternative route.
4958.0,5018.4883,High,High,Avoid peak hours or consider an alternative route.
4958.0,5024.5117,High,High,Avoid peak hours or consider an alternative route.
4958.0,5039.412,High,High,Avoid peak hours or consider an alternative route.
4958.0,5023.559,High,High,Avoid peak hours or consider an alternative route.
5690.0,5476.6807,High,High,Avoid peak hours or consider an alternative route.
5690.0,5549.555,High,High,Avoid peak hours or consider an alternative route.
5690.0,5478.4585,High,High,Avoid peak hours or consider an alternative route.
5690.0,5449.6885,High,High,Avoid peak hours or consider an alternative route.
6097.0,5697.354,High,High,Avoid peak hours or consider an alternative route.
6097.0,5726.124,High,High,Avoid peak hours or consider an alternative route.
4569.0,4454.4663,Medium,Medium,Expect moderate delays and allow extra travel time.
3098.0,3134.6665,Medium,Medium,Expect moderate delays and allow extra travel time.
3098.0,3118.5293,Medium,Medium,Expect moderate delays and allow extra travel time.
2741.0,2849.317,Medium,Medium,Expect moderate delays and allow extra travel time.
2741.0,2821.2314,Medium,Medium,Expect moderate delays and allow extra travel time.
2741.0,2849.317,Medium,Medium,Expect moderate delays and allow extra travel time.
2517.0,2636.8262,Medium,Medium,Expect moderate delays and allow extra travel time.
2517.0,2620.2136,Medium,Medium,Expect moderate delays and allow extra travel time.
2517.0,2636.8262,Medium,Medium,Expect moderate delays and allow extra travel time.
1621.0,2214.9849,Low,Low,Traffic conditions are favorable.
1062.0,1400.0923,Low,Low,Traffic conditions are favorable.
578.0,701.15656,Low,Low,Traffic conditions are favorable.
335.0,450.80756,Low,Low,Traffic conditions are favorable.
261.0,397.88864,Low,Low,Traffic conditions are favorable.
353.0,418.77786,Low,Low,Traffic conditions are favorable.
893.0,860.9227,Low,Low,Traffic conditions are favorable.
2950.0,2697.942,Medium,Medium,Expect moderate delays and allow extra travel time.
5538.0,5365.293,High,High,Avoid peak hours or consider an alternative route.
6840.0,6059.846,High,High,Avoid peak hours or consider an alternative route.
6218.0,5701.065,High,High,Avoid peak hours or consider an alternative route.
5356.0,4976.437,High,High,Avoid peak hours or consider an alternative route.
5356.0,4986.9023,High,High,Avoid peak hours or consider an alternative route.
4551.0,4539.5493,Medium,Medium,Expect moderate delays and allow extra travel time.
4807.0,4680.657,High,High,Avoid peak hours or consider an alternative route.
4993.0,5010.608,High,High,Avoid peak hours or consider an alternative route.
4879.0,5015.5366,High,High,Avoid peak hours or consider an alternative route.
5173.0,5399.2256,High,High,Avoid peak hours or consider an alternative route.
5863.0,5774.602,High,High,Avoid peak hours or consider an alternative route.
6790.0,6506.357,High,High,Avoid peak hours or consider an alternative route.
6310.0,6001.477,High,High,Avoid peak hours or consider an alternative route.
3493.0,3387.9602,Medium,Medium,Expect moderate delays and allow extra travel time.
2991.0,2971.14,Medium,Medium,Expect moderate delays and allow extra travel time.
2592.0,2777.5671,Medium,Medium,Expect moderate delays and allow extra travel time.
1664.0,2161.0369,Low,Low,Traffic conditions are favorable.
1093.0,1341.28,Low,Low,Traffic conditions are favorable.
609.0,764.4213,Low,Low,Traffic conditions are favorable.
346.0,472.7959,Low,Low,Traffic conditions are favorable.
228.0,418.3933,Low,Low,Traffic conditions are favorable.
330.0,426.63855,Low,Low,Traffic conditions are favorable.
868.0,902.301,Low,Low,Traffic conditions are favorable.
2903.0,2799.3484,Medium,Medium,Expect moderate delays and allow extra travel time.
5530.0,5557.472,High,High,Avoid peak hours or consider an alternative route.
6833.0,6132.3145,High,High,Avoid peak hours or consider an alternative route.
6206.0,5770.6514,High,High,Avoid peak hours or consider an alternative route.
5222.0,5059.943,High,High,Avoid peak hours or consider an alternative route.
4573.0,4657.2363,Medium,High,Avoid peak hours or consider an alternative route.
5059.0,4874.41,High,High,Avoid peak hours or consider an alternative route.
5162.0,5173.1265,High,High,Avoid peak hours or consider an alternative route.
5165.0,5137.153,High,High,Avoid peak hours or consider an alternative route.
5386.0,5444.7246,High,High,Avoid peak hours or consider an alternative route.
5963.0,5999.449,High,High,Avoid peak hours or consider an alternative route.
6918.0,6584.765,High,High,Avoid peak hours or consider an alternative route.
6374.0,6047.7075,High,High,Avoid peak hours or consider an alternative route.
4694.0,4854.7056,High,High,Avoid peak hours or consider an alternative route.
3737.0,3682.2156,Medium,Medium,Expect moderate delays and allow extra travel time.
3510.0,3256.3025,Medium,Medium,Expect moderate delays and allow extra travel time.
2896.0,3079.9624,Medium,Medium,Expect moderate delays and allow extra travel time.
2298.0,2740.1348,Medium,Medium,Expect moderate delays and allow extra travel time.
1235.0,1684.6208,Low,Low,Traffic conditions are favorable.
645.0,821.9959,Low,Low,Traffic conditions are favorable.
379.0,496.6873,Low,Low,Traffic conditions are favorable.
285.0,418.56372,Low,Low,Traffic conditions are favorable.
382.0,419.64307,Low,Low,Traffic conditions are favorable.
2744.0,2533.11,Medium,Medium,Expect moderate delays and allow extra travel time.
5245.0,5340.6216,High,High,Avoid peak hours or consider an alternative route.
6407.0,6102.893,High,High,Avoid peak hours or consider an alternative route.
5885.0,5679.6406,High,High,Avoid peak hours or consider an alternative route.
5294.0,5043.5894,High,High,Avoid peak hours or consider an alternative route.
4876.0,4899.932,High,High,Avoid peak hours or consider an alternative route.
5230.0,4964.6943,High,High,Avoid peak hours or consider an alternative route.
5405.0,5196.1245,High,High,Avoid peak hours or consider an alternative route.
5369.0,5224.73,High,High,Avoid peak hours or consider an alternative route.
5525.0,5481.9,High,High,Avoid peak hours or consider an alternative route.
6042.0,5972.5483,High,High,Avoid peak hours or consider an alternative route.
6712.0,6339.5254,High,High,Avoid peak hours or consider an alternative route.
6248.0,5993.956,High,High,Avoid peak hours or consider an alternative route.
5041.0,4833.859,High,High,Avoid peak hours or consider an alternative route.
4067.0,3721.8667,Medium,Medium,Expect moderate delays and allow extra travel time.
3229.0,3307.8425,Medium,Medium,Expect moderate delays and allow extra travel time.
2915.0,3043.5327,Medium,Medium,Expect moderate delays and allow extra travel time.
2928.0,2899.3225,Medium,Medium,Expect moderate delays and allow extra travel time.
2932.0,2311.6448,Medium,Low,Traffic conditions are favorable.
1453.0,1337.9917,Low,Low,Traffic conditions are favorable.
950.0,806.9514,Low,Low,Traffic conditions are favorable.
3912.0,3596.8264,Medium,Medium,Expect moderate delays and allow extra travel time.
4466.0,4068.9797,Medium,Medium,Expect moderate delays and allow extra travel time.
6006.0,4444.786,High,Medium,Expect moderate delays and allow extra travel time.
6470.0,4898.159,High,High,Avoid peak hours or consider an alternative route.
5148.0,4899.937,High,High,Avoid peak hours or consider an alternative route.
4994.0,4900.59,High,High,Avoid peak hours or consider an alternative route.
5019.0,4898.447,High,High,Avoid peak hours or consider an alternative route.
4874.0,4941.114,High,High,Avoid peak hours or consider an alternative route.
4787.0,4690.789,High,High,Avoid peak hours or consider an alternative route.
3788.0,3730.1025,Medium,Medium,Expect moderate delays and allow extra travel time.
3044.0,3288.525,Medium,Medium,Expect moderate delays and allow extra travel time.
3602.0,3168.978,Medium,Medium,Expect moderate delays and allow extra travel time.
4409.0,2961.9421,Medium,Medium,Expect moderate delays and allow extra travel time.
2104.0,2430.7961,Low,Medium,Expect moderate delays and allow extra travel time.
1324.0,1430.4233,Low,Low,Traffic conditions are favorable.
795.0,914.5885,Low,Low,Traffic conditions are favorable.
658.0,618.54785,Low,Low,Traffic conditions are favorable.
340.0,513.20483,Low,Low,Traffic conditions are favorable.
274.0,392.91266,Low,Low,Traffic conditions are favorable.
440.0,517.3763,Low,Low,Traffic conditions are favorable.
771.0,946.567,Low,Low,Traffic conditions are favorable.
1158.0,1419.7069,Low,Low,Traffic conditions are favorable.
1847.0,2136.5476,Low,Low,Traffic conditions are favorable.
2788.0,2982.1462,Medium,Medium,Expect moderate delays and allow extra travel time.
3617.0,3595.5403,Medium,Medium,Expect moderate delays and allow extra travel time.
3939.0,3914.008,Medium,Medium,Expect moderate delays and allow extra travel time.
4628.0,4418.1807,High,Medium,Expect moderate delays and allow extra travel time.
4615.0,4510.8647,High,Medium,Expect moderate delays and allow extra travel time.
4447.0,4500.1475,Medium,Medium,Expect moderate delays and allow extra travel time.
4447.0,4512.1865,Medium,Medium,Expect moderate delays and allow extra travel time.
4540.0,4570.6553,Medium,Medium,Expect moderate delays and allow extra travel time.
4345.0,4258.554,Medium,Medium,Expect moderate delays and allow extra travel time.
3799.0,3944.7092,Medium,Medium,Expect moderate delays and allow extra travel time.
2980.0,3432.1726,Medium,Medium,Expect moderate delays and allow extra travel time.
2784.0,2863.0032,Medium,Medium,Expect moderate delays and allow extra travel time.
3967.0,2642.2007,Medium,Medium,Expect moderate delays and allow extra travel time.
1794.0,2002.006,Low,Low,Traffic conditions are favorable.
984.0,1321.4069,Low,Low,Traffic conditions are favorable.
518.0,634.69586,Low,Low,Traffic conditions are favorable.
325.0,392.14688,Low,Low,Traffic conditions are favorable.
248.0,373.63794,Low,Low,Traffic conditions are favorable.
336.0,356.4702,Low,Low,Traffic conditions are favorable.
336.0,356.45178,Low,Low,Traffic conditions are favorable.
851.0,756.9867,Low,Low,Traffic conditions are favorable.
2625.0,2526.2163,Medium,Medium,Expect moderate delays and allow extra travel time.
2625.0,2567.835,Medium,Medium,Expect moderate delays and allow extra travel time.
5213.0,5303.9663,High,High,Avoid peak hours or consider an alternative route.
5213.0,5302.937,High,High,Avoid peak hours or consider an alternative route.
6382.0,5857.7334,High,High,Avoid peak hours or consider an alternative route.
5654.0,5372.4844,High,High,Avoid peak hours or consider an alternative route.
4843.0,4671.2373,High,High,Avoid peak hours or consider an alternative route.
4129.0,4164.159,Medium,Medium,Expect moderate delays and allow extra travel time.
4370.0,4469.382,Medium,Medium,Expect moderate delays and allow extra travel time.
4562.0,4844.741,Medium,High,Avoid peak hours or consider an alternative route.
4661.0,4719.3413,High,High,Avoid peak hours or consider an alternative route.
4992.0,4953.727,High,High,Avoid peak hours or consider an alternative route.
4992.0,4993.625,High,High,Avoid peak hours or consider an alternative route.
5494.0,5465.896,High,High,Avoid peak hours or consider an alternative route.
6402.0,6113.417,High,High,Avoid peak hours or consider an alternative route.
6402.0,6120.773,High,High,Avoid peak hours or consider an alternative route.
5956.0,5722.57,High,High,Avoid peak hours or consider an alternative route.
5956.0,5596.228,High,High,Avoid peak hours or consider an alternative route.
5956.0,5708.9546,High,High,Avoid peak hours or consider an alternative route.
4041.0,4074.9734,Medium,Medium,Expect moderate delays and allow extra travel time.
4041.0,4080.349,Medium,Medium,Expect moderate delays and allow extra travel time.
3000.0,2881.1506,Medium,Medium,Expect moderate delays and allow extra travel time.
3000.0,2888.3044,Medium,Medium,Expect moderate delays and allow extra travel time.
3000.0,2921.0488,Medium,Medium,Expect moderate delays and allow extra travel time.
2500.0,2465.7764,Medium,Medium,Expect moderate delays and allow extra travel time.
2500.0,2462.4038,Medium,Medium,Expect moderate delays and allow extra travel time.
2500.0,2564.1477,Medium,Medium,Expect moderate delays and allow extra travel time.
2012.0,2206.6924,Low,Low,Traffic conditions are favorable.
2012.0,2219.8735,Low,Medium,Expect moderate delays and allow extra travel time.
2012.0,2219.8735,Low,Medium,Expect moderate delays and allow extra travel time.
1413.0,1696.8833,Low,Low,Traffic conditions are favorable.
1413.0,1703.2407,Low,Low,Traffic conditions are favorable.
877.0,1050.5051,Low,Low,Traffic conditions are favorable.
877.0,1063.1012,Low,Low,Traffic conditions are favorable.
516.0,611.8481,Low,Low,Traffic conditions are favorable.
516.0,654.4423,Low,Low,Traffic conditions are favorable.
516.0,592.6669,Low,Low,Traffic conditions are favorable.
516.0,611.8481,Low,Low,Traffic conditions are favorable.
313.0,369.48227,Low,Low,Traffic conditions are favorable.
313.0,334.84293,Low,Low,Traffic conditions are favorable.
313.0,366.07288,Low,Low,Traffic conditions are favorable.
313.0,366.07288,Low,Low,Traffic conditions are favorable.
249.0,369.11887,Low,Low,Traffic conditions are favorable.
344.0,319.95932,Low,Low,Traffic conditions are favorable.
879.0,803.67596,Low,Low,Traffic conditions are favorable.
2781.0,2694.4785,Medium,Medium,Expect moderate delays and allow extra travel time.
5421.0,5469.762,High,High,Avoid peak hours or consider an alternative route.
6696.0,6040.394,High,High,Avoid peak hours or consider an alternative route.
6696.0,5989.5273,High,High,Avoid peak hours or consider an alternative route.
5970.0,5608.4775,High,High,Avoid peak hours or consider an alternative route.
5970.0,5606.806,High,High,Avoid peak hours or consider an alternative route.
5088.0,5001.5967,High,High,Avoid peak hours or consider an alternative route.
5088.0,5000.6646,High,High,Avoid peak hours or consider an alternative route.
4388.0,4513.3296,Medium,Medium,Expect moderate delays and allow extra travel time.
4466.0,4803.318,Medium,High,Avoid peak hours or consider an alternative route.
5025.0,4819.1445,High,High,Avoid peak hours or consider an alternative route.
4793.0,4957.1953,High,High,Avoid peak hours or consider an alternative route.
5801.0,5829.4883,High,High,Avoid peak hours or consider an alternative route.
6868.0,6559.3374,High,High,Avoid peak hours or consider an alternative route.
6139.0,6040.2993,High,High,Avoid peak hours or consider an alternative route.
4715.0,4737.042,High,High,Avoid peak hours or consider an alternative route.
2952.0,3105.986,Medium,Medium,Expect moderate delays and allow extra travel time.
2415.0,2841.3528,Medium,Medium,Expect moderate delays and allow extra travel time.
2058.0,2201.7092,Low,Low,Traffic conditions are favorable.
1060.0,1421.8125,Low,Low,Traffic conditions are favorable.
600.0,696.9752,Low,Low,Traffic conditions are favorable.
380.0,454.3062,Low,Low,Traffic conditions are favorable.
263.0,399.2062,Low,Low,Traffic conditions are favorable.
352.0,399.0433,Low,Low,Traffic conditions are favorable.
859.0,892.23584,Low,Low,Traffic conditions are favorable.
2825.0,2866.9836,Medium,Medium,Expect moderate delays and allow extra travel time.
2825.0,2794.1887,Medium,Medium,Expect moderate delays and allow extra travel time.
5355.0,5621.8687,High,High,Avoid peak hours or consider an alternative route.
6650.0,6296.5747,High,High,Avoid peak hours or consider an alternative route.
6014.0,5849.3086,High,High,Avoid peak hours or consider an alternative route.
5082.0,5253.2915,High,High,Avoid peak hours or consider an alternative route.
4655.0,4821.6025,High,High,Avoid peak hours or consider an alternative route.
4775.0,4888.5503,High,High,Avoid peak hours or consider an alternative route.
5066.0,5112.631,High,High,Avoid peak hours or consider an alternative route.
5197.0,5032.358,High,High,Avoid peak hours or consider an alternative route.
5484.0,5329.104,High,High,Avoid peak hours or consider an alternative route.
5938.0,5825.3354,High,High,Avoid peak hours or consider an alternative route.
6988.0,6572.8315,High,High,Avoid peak hours or consider an alternative route.
6540.0,5957.4746,High,High,Avoid peak hours or consider an alternative route.
6540.0,5996.8325,High,High,Avoid peak hours or consider an alternative route.
4918.0,4729.1255,High,High,Avoid peak hours or consider an alternative route.
3392.0,3512.3022,Medium,Medium,Expect moderate delays and allow extra travel time.
3105.0,3143.6443,Medium,Medium,Expect moderate delays and allow extra travel time.
2616.0,2765.0225,Medium,Medium,Expect moderate delays and allow extra travel time.
1736.0,2254.0789,Low,Low,Traffic conditions are favorable.
1132.0,1436.3401,Low,Low,Traffic conditions are favorable.
553.0,759.36646,Low,Low,Traffic conditions are favorable.
354.0,495.40656,Low,Low,Traffic conditions are favorable.
353.0,417.05072,Low,Low,Traffic conditions are favorable.
859.0,897.5947,Low,Low,Traffic conditions are favorable.
